ACO_ID,ACO_NAME,PERF_YR,PBP_ELECTION,RISK_ARRANGEMENT,BENE_CT,MNTH_PY,BNMRK_EXPND,PERF_YR_EXPND,GROSS_SAVINGS,SHARED_SAVINGS,QUAL_SCRE,MNTH_AD_BY1,EXPND_AD_BY1,RISK_SCRE_AD_BY1,MNTH_AD_BY2,EXPND_AD_BY2,RISK_SCRE_AD_BY2,RISK_SCRE_AD_PY,MNTH_ESRD_BY1,EXPND_ESRD_BY1,RISK_SCRE_ESRD_BY1,MNTH_ESRD_BY2,EXPND_ESRD_BY2,RISK_SCRE_ESRD_BY2,RISK_SCRE_ESRD_PY,EXPND_NCH10,EXPND_NCH20,EXPND_NCH30,EXPND_NCH40,EXPND_NCH50,EXPND_NCH60,EXPND_NCH71,EXPND_NCH72,EXPND_NCH81,EXPND_NCH82
V235,"Arizona Care Network, LLC",2021,PBP,Partial Risk,34053,394864,367991864.4,369435660.7,-1291148.293,0,0.9675,310348,285589674.8,1.130934249,343042,329670168.5,1.136867568,1.136867568,2845,20495154.14,1.13383327,3250,24137715.26,1.124366591,1.124366591,11210924.49,13246919.02,17202,53781203.01,15887732.06,89542807.12,175250708,1073122.18,242865.38,9182177.5
V239,"APA ACO, Inc.",2021,AIPBP,Full Risk,27162,314750,437245958,384234980.7,49801166.88,48841361,0.8896,305462,364363921.2,1.535472758,310098,383827341.5,1.520343612,1.520343612,5760,51288705.22,1.165879369,5416,47026009.25,1.132241714,1.132241714,48272334.95,35990530.65,0,49270387.87,15398420.97,118036004.7,110683490.4,1041456.76,415096.67,5127257.64
V241,"UNC Senior Alliance, LLC",2021,None,Full Risk,30432,353123,287333195.8,282097157.7,4594691.221,4578580.909,0.9354,284743,220403928.8,1.15502748,321031,260477278.7,1.136143247,1.139180995,2781,19052662.36,1.145365819,3241,22863343.95,1.126423418,1.126423418,12201913.78,13677906.35,241237.37,71511439.5,9727126.23,72733604.62,93126037.85,328246.13,441668.09,8107977.81
V300,"UW Health ACO, Inc.",2021,None,Partial Risk,26022,303762,234520466.2,232382165.4,3489678.366,2758988.494,0.8567,246230,187290265.3,1.073624707,266486,202730611.6,1.069278812,1.069278812,1281,9757341.82,1.11899035,1332,10453873.54,1.133234371,1.135501952,6960169.34,12753456.76,443480.08,70476302.75,12043848.9,76015022.01,48184266.85,284508.15,406703.91,4814406.61
V301,"Reliant Medical Group, Inc ",2021,Infrastructure,Full Risk,11222,130169,144906042.8,128833421.9,16072620.97,15780912.56,0.8471,94327,94466350.03,1.246719681,106453,109407814,1.282155946,1.320620624,537,4865159.35,1.217503763,475,4094640.27,1.188352574,1.188352574,7402338.46,8768169.09,141930.3,24947155.61,3141862.72,45186711.09,36730602.1,60824.83,106660.86,2347166.81
V302,Mary Washington Health Alliance LLC,2021,PBP,Partial Risk,10421,121187,114605229.8,117004859.8,-2780522.509,0,0.9275,98749,86250988.37,1.13235469,107317,101872576.7,1.121833378,1.143148073,839,7295548.2,1.14828358,796,6122840.85,1.121449879,1.155093376,4813802.48,5525732.59,0,19674575.59,3057843.43,33892743.35,47159986.97,277587.39,46211.07,2556376.95
V303,"Reliance Next Gen ACO, LLC",2021,None,Full Risk,10862,123608,131914894.4,127178281.2,4721384.397,4660053.301,0.98,130636,130457266.2,1.389570571,136903,141382941.2,1.372961369,1.372961369,1441,13056823.72,1.204745341,1594,12817731.1,1.255485223,1.255485223,5762548.39,6547873.42,36101,24653252.13,3051933.28,41388401.02,42092337.33,378949.31,167166.44,3099718.84
V304,Primary Care Alliance,2021,AIPBP,Full Risk,13647,158238,168082649.7,149162112.8,18491950.38,18158504.17,0.9171,139282,131294973.1,1.402585483,154904,142744356.9,1.467030689,1.51104161,784,5382845.48,1.248348228,804,5502534.18,1.213267139,1.222973734,6440874.59,8304198.67,17561.4,21407275.96,4508649.46,35232136.88,69194292.75,372088.8,79425.75,3605608.52
V307,Revere Health,2021,None,Partial Risk,15343,178949,168600494.5,161429163.6,7055164.811,5533774.087,0.9375,157206,132320398.7,1.189642545,169011,154719856.2,1.24512123,1.24512123,1093,6894497.61,1.018098392,1195,7738148.09,1.117458249,1.117458249,9048439.58,7971207.9,1645528,31354879.83,9219667.59,36870421.92,59181112.49,290695.92,113350.55,5733859.81
V309,"Franciscan Missionaries of Our Lady Health System Clinical Network, LLC",2021,Infrastructure,Full Risk,23479,270764,246565570.8,244061117.7,2504453.083,2442272.555,0.9567,251701,209490042.1,1.24034478,266659,232324692.8,1.239754062,1.247758675,2958,20353431.7,1.115821826,3298,22520348.62,1.158060267,1.158060267,14864777.96,11887776,1272612.02,48967578.47,11600518.73,66874983.18,81700815.8,491247.95,387272.78,6013534.83
V310,CareMount ACO,2021,PBP,Full Risk,28307,330647,351762373.7,337869696.3,10666871.83,10513934.78,0.8425,297423,289140756,1.140169725,315680,308785427.9,1.155953082,1.190631674,1300,11540076.16,1.164042783,1316,11886908.11,1.181625745,1.215848039,9489775.65,28407562.34,92437.51,62929445.32,8078608.97,98627842.11,125214454.9,404634.51,203249.52,4421685.46
V315,"Primaria ACO, LLC",2021,PBP,Full Risk,25248,291400,274159043.3,274573564.1,-414520.8188,0,0.8813,260526,229199569,1.25038426,293054,268917094.4,1.288631124,1.288631124,3161,23203716.43,1.131017755,3248,24892707.24,1.168230456,1.1697494,11371161.28,18663908.7,133558,69828702.25,7675720.48,82513428.49,75177803.31,314387.15,226776.98,8668117.46
V321,Best Care Collaborative,2021,Infrastructure,Partial Risk,18931,218678,215488084.7,213196887.4,1610940.033,1268851.011,0.945,135558,125726628.1,1.194661321,154337,144815675.8,1.201415155,1.237457609,1013,6807977.87,1.086831567,1267,8675553.93,1.067119166,1.099132741,9988335.43,10953496.74,55264.5,36491197.04,7621296.93,49192616,93260907.42,350065.31,331824.01,4951884.01
V323,"Accountable Care Coalition of Tennessee, LLC",2021,PBP,Full Risk,30051,351016,289081989,277848564,11775464.74,11584147.92,0.9775,287555,208088116.1,1.196177505,311308,238308041.7,1.215330188,1.251207094,1527,9485469.69,1.095070233,1625,9690833.52,1.114113053,1.114113053,13397469.56,11784547.98,1603.48,55145334.7,9804739.79,58721565.32,118853751.7,402548.1,262159.62,9474843.8
V324,"Torrance Memorial Integrated Physicians, LLC",2021,None,Partial Risk,11825,138456,158994828.9,151654249.8,6741015.303,5280238.189,0.9275,125925,128340944.9,1.200208822,125166,130004342.5,1.201413976,1.201413976,1845,14050092.23,1.171124246,1687,14738151.1,1.155812249,1.155812249,9970992.67,9504559.66,0,27100664.99,5537475.93,38648323.21,55470664.85,3401390.01,93028.4,1927150.12
V325,"NEQCA Accountable Care, Inc",2021,PBP,Partial Risk,29723,347493,400974641.6,386638437.2,11999400.5,9491170.149,0.9388,245234,274318807.7,1.236114804,275100,317935413.6,1.260689834,1.260689834,1472,12199376.27,1.080457378,1534,16013487.28,1.112904871,1.146292017,22155899.99,28688827.31,3400.75,84730068.03,10936881.17,135359527.6,98313894.7,237483.37,315522.42,5896931.82
